Прайс лабораторных анализов;;;;;;;
1. ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ;;;;;;;
;;;;;;;
1.1. Общеклинические исследования крови;;;;;;;
* тест TRO выполняется только в комплексе с тестом №5;;;;;;;
1410;;;Фактор IX, активность, % (фактор Кристмаса, антигемофильный фактор «В») Factor IX, Activity,% (Christmas Factor, anti-hemophilic globulin “B”);;Плазма крови;до 7 р.д.;785,00
1412;;;Анти-Ха активность, МЕ/мл (Гепарин, концентрация, МЕ/мл), Anti-Xa activity, IU/ml (Heparin concentration, IU/ml);;Плазма крови;до 2 р.д.;2 820,00
1413;;;Фактор Виллебранда, антиген, % (Willebrand Factor, Antigen, %);;Плазма крови;до 7 р.д.;3 435,00
3;;;Фибриноген (Fibrinogen, FG);;Плазма крови;1 к.д.;260,00
4;;;Антитромбин III, % активности (АТ III, Antithrombin III, % Activity);;Плазма крови;1 к.д.;575,00
194;;;Тромбиновое время (ТВ) (Thrombin Time, TT);;Плазма крови;1 к.д.;290,00
164;;;D-димер (D-Dimer);;Плазма крови;1 к.д.;1 030,00
190;;;Волчаночный антикоагулянт (ВА) (Lupus Anticoagulant, LA );;Плазма крови;1 к.д.;1 070,00
1263;;;Протеин C, % активности (Protein C, % Activity);;Плазма крови;1 к.д.;2 095,00
1264;;;Протеин S свободный (Protein S, Free);;Плазма крови;1 к.д.;2 220,00
1153;;;Плазминоген (Plasminogen);;Плазма крови;1 к.д.;725,00
ОБС103;;;Гемостазиограмма (коагулограмма), скрининг (Coagulation, Gemostaziogram, Screening);;Плазма крови;до 2 к.д.;1 000,00
ОБС109;;;Гемостазиограмма (коагулограмма) расширенная (Hemostasiogram (coagulogram), extended;;Плазма крови;1 к.д.;3 180,00
1801;;;Исследование активности фактора II;;Плазма крови;до 5 р.д.;2 490,00
1802;;;Исследование активности фактора V;;Плазма крови;до 5 р.д.;2 490,00
1803;;;Исследование активности фактора X;;Плазма крови;до 5 р.д.;2 490,00
1804;;;Исследование активности фактора ХI;;Плазма крови;до 5 р.д.;2 490,00
1805;;;Исследование активности фактора XII;;Плазма крови;до 5 р.д.;2 490,00
1417;;;Фактор Виллебранда (ристоцетин-кофакторная активность) (Von Willebrand Factor  ristocetin  cofactor  activity);;Плазма крови;до 8 к.д.;6 130,00
1156;;;Фибрин мономер, растворимые фибрин-мономерные комплексы (РФМК);;Плазма крови;до 2 к.д.;4 130,00
1822;;;Исследование индекса ристоцетиновой активности фактора Виллебранда;;Плазма крови;до 8 р.д.;2 490,00
1823;;;Исследование коллагенсвязывающией активности фактора Виллебранда;;Плазма крови;до 8 р.д.;3 390,00
1824;;;Комплексное исследование функциональной активности фактора Виллебранда;;Плазма крови;до 8 р.д.;5 490,00
1214;;;Исследование активности протеазы ADAMTS-13;;Плазма крови;до 8 р.д.;4 690,00
1902;;;Расширенный поиск волчаночных антикоагулянтов в плазме в соответствии с рекомендациями Международного Общества по тромбозам и гемостазу (Lupus Anticoagulant Diagnostic in Plasmaon recommendation ISTH);;Плазма крови;до 8 р.д.;4 990,00
4. БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ;;;;;;;
;;;;;;;
4.1. Углеводы;;;;;;;
;;;;;;;
16;;;Глюкоза (Glucose);;"Плазма крови; Сыворотка крови";1 к.д.;190,00
17;;;Фруктозамин (Fructosamine);;Сыворотка крови;до 2 р.д.;720,00
18;;;Гликированный гемоглобин HbA1С (HbA1С, Glycated Hemoglobin, GHB);;Кровь;1 р.д.;540,00
215;;;Лактат (Lactate);;Плазма крови;1 к.д.;685,00
ГТТ2;;;Глюкозо-толерантный тест с определением глюкозы в венозной крови натощак и после нагрузки через 2 часа (2-Hour Oral Glucose Tolerance Test, OGTT, Glucose Concentration (Fasting and 2 Hours after Load), Venous Blood);;Плазма крови;до 2 к.д.;535,00
ГТГС2;;;Глюкозо-толерантный тест с определением глюкозы и С-пептида в венозной крови натощак и после нагрузки через 2 часа (2-Hour Oral Glucose Tolerance Test, OGTT, Glucose and C-Protein Concentration (Fasting and 2 Hours after Load), Venous Blood);;Плазма крови;1 к.д.;1 300,00
ГТБ-С2;;;Глюкозотолерантный тест при беременности (пероральный глюкозотолерантный тест, ГТТ, ОГТТ) Oral Glucose Tolerance Test, Plasma, OGTT, Pregnancy;;Плазма крови;до 2 к.д.;735,00
4.2. Липиды, липопротеины, аполипопротеины;;;;;;;
* Тест №33 ЛПНП выполняется  только в комплексе с тестами  № 30 Триглицериды, 31 Холестерин общий и 32 ЛПВП;;;;;;;
30;;;Триглицериды (ТГ) (Triglycerides);;Сыворотка крови;1 к.д.;225,00
31;;;Холестерин общий (Холестерин) (Cholesterol Total);;Сыворотка крови;1 к.д.;220,00
32;;;Холестерин ЛПВП (Холестерин липопротеинов высокой плотности, ЛПВП, α-холестерин) (High-Density Lipoprotein Cholesterol, HDL Cholesterol);;Сыворотка крови;1 к.д.;245,00
1644;;;Холестерин ЛПНП (прямой метод) Cholesterol LDL (direct);;Сыворотка крови;1 к.д.;285,00
